date,SMA,EMA,MACD_Signal,MACD_Hist,MACD,RSI,ADX,CCI,Aroon Down,Aroon Up,Real Upper Band,Real Lower Band,Real Middle Band,Chaikin A/D,OBV,WMA,MOM,WILLR,SlowK,SlowD,4. close,Change_oil,Change_DAX,Change_gold,Change_Nikkei,Change_SP,Change_Shanghai,Change_USD_EUR,Change_USD_GBP,Change_USD_JPY,y
2012-01-04,-1.6114588970526196,-1.6094456663991348,-0.673372636773964,0.6674056825947743,-0.3979890858110721,-0.18528327052033147,-1.6089672901199779,0.7935233101652145,0.2601938527842569,-2.0655346809326702,-1.6228798371118376,-1.5957542353649112,-1.6114588970526196,-1.6650656803261623,-1.4725654421937406,-1.614983609561189,-0.3758850582640685,0.9063048178939266,0.4801946986356944,0.12693480199415852,-1.5752724256008577,1.4,-0.89,0.76,1.24,0.02,-1.37,0.82,0.17,-0.02,1
2012-01-05,-1.6101270171309778,-1.603442141612019,-0.5925000478638291,0.8411031012883715,-0.26093920518295105,-0.0022286494400519047,-1.5888091902288481,1.1384244123011258,0.11753197266491,0.946038764988314,-1.6173495036444194,-1.598776259995388,-1.6101270171309778,-1.6495980635629008,-1.4441897379866326,-1.6086483884960456,-0.19176316977216884,1.0197311547451178,1.2130978874534113,0.6550958017692385,-1.5573457458959965,-0.84,-0.25,0.47,-0.83,0.29,-0.97,1.26,0.84,0.58,1
2012-01-06,-1.6084621672289254,-1.597375682404409,-0.5020484967999937,0.943506279299262,-0.13995038789736802,0.06519333924147706,-1.5496477330853295,1.315155660743516,-0.025129907454436943,0.946038764988314,-1.610623702478598,-1.6023598895488698,-1.6084621672289254,-1.6442208686257984,-1.4181830924151417,-1.6018071050909424,-0.14020904099443693,0.9126385092622884,1.2913756585283231,1.075262246827876,-1.5507411796889423,0.28,-0.62,-0.2,-1.16,-0.25,0.7,0.5,0.39,-0.27,0
2012-01-10,-1.602944378982124,-1.5863337859626334,-0.3220520454111506,0.9508533957054952,0.031743119944432734,0.16254260423601055,-1.4464622118604356,1.1535698427891148,-0.3104536676931308,0.946038764988314,-1.5939467180271256,-1.608419224525212,-1.602944378982124,-1.6535790151707288,-1.4175430819227908,-1.5882058612556738,-0.044465658978649104,0.7901068549859859,0.8457341908924999,1.1528705327623479,-1.5403625756492858,0.74,2.42,1.46,0.38,0.89,2.69,-0.08,-0.17,-0.02,1
2012-01-11,-1.599139007777433,-1.5804458472367584,-0.2322870523343261,0.9361503849761758,0.11090959492510956,0.21382441178306336,-1.3908634922172898,0.8863891307534233,-0.4531155478124778,0.7954600926922648,-1.5833704932544923,-1.6116393829855449,-1.599139007777433,-1.6458625098781925,-1.3912804012509077,-1.5806008820485833,0.19121035829098249,0.8892985003633442,0.7674564198175874,0.96480586098178,-1.535645028358533,-0.92,-0.17,0.5,0.3,0.03,-0.42,0.55,1.02,0.02,1
2012-01-12,-1.5937163538107484,-1.574211816803626,-0.1437046471777114,0.9235189626242408,0.18969336970315856,0.3181666505340129,-1.3257131976610907,0.7786197955881962,-0.5957774279318248,0.946038764988314,-1.5715455858995755,-1.6128641751173705,-1.5937163538107484,-1.632527667702137,-1.3654829720499246,-1.5724536864134913,0.441616126639966,1.0288568268291527,0.9881230400423529,0.9376546640068594,-1.5262099337770272,-0.87,0.44,0.49,-0.74,0.23,-0.05,-0.94,-0.11,-0.1,0
2012-01-12,-1.5937163538107484,-1.574211816803626,-0.1437046471777114,0.9235189626242408,0.18969336970315856,0.3181666505340129,-1.3257131976610907,0.7786197955881962,-0.5957774279318248,0.946038764988314,-1.5715455858995755,-1.6128641751173705,-1.5937163538107484,-1.632527667702137,-1.3654829720499246,-1.5724536864134913,0.441616126639966,1.0288568268291527,0.9881230400423529,0.9376546640068594,-1.5262099337770272,-0.87,0.44,0.49,-0.74,0.23,-0.05,-0.94,-0.11,-0.1,0
2012-01-12,-1.5937163538107484,-1.574211816803626,-0.1437046471777114,0.9235189626242408,0.18969336970315856,0.3181666505340129,-1.3257131976610907,0.7786197955881962,-0.5957774279318248,0.946038764988314,-1.5715455858995755,-1.6128641751173705,-1.5937163538107484,-1.632527667702137,-1.3654829720499246,-1.5724536864134913,0.441616126639966,1.0288568268291527,0.9881230400423529,0.9376546640068594,-1.5262099337770272,-0.87,0.44,0.49,-0.74,0.23,-0.05,-0.94,-0.11,-0.1,0
2012-01-12,-1.5937163538107484,-1.574211816803626,-0.1437046471777114,0.9235189626242408,0.18969336970315856,0.3181666505340129,-1.3257131976610907,0.7786197955881962,-0.5957774279318248,0.946038764988314,-1.5715455858995755,-1.6128641751173705,-1.5937163538107484,-1.632527667702137,-1.3654829720499246,-1.5724536864134913,0.441616126639966,1.0288568268291527,0.9881230400423529,0.9376546640068594,-1.5262099337770272,-0.87,0.44,0.49,-0.74,0.23,-0.05,-0.94,-0.11,-0.1,0
2012-01-13,-1.5871045213425983,-1.569478405737232,-0.06680358269961488,0.7986618733025447,0.21804096132522074,0.16482940608052635,-1.2814908314218505,0.5313023413235548,-0.7384393080511716,0.7954600926922648,-1.5646848803351452,-1.6065261176977588,-1.5871045213425983,-1.6196792642658782,-1.3910704122940978,-1.5657253252256298,0.6257380151318657,0.8338863338872755,0.8665961018171155,0.9451446493792512,-1.535645028358533,-0.74,-0.58,-1.03,1.36,-0.49,-1.34,1.21,0.11,0.22,1
