date,SMA,EMA,MACD_Signal,MACD_Hist,MACD,RSI,ADX,CCI,Aroon Down,Aroon Up,Real Upper Band,Real Lower Band,Real Middle Band,Chaikin A/D,OBV,WMA,MOM,WILLR,SlowK,SlowD,4. close
2012-01-03,-1.6116015984727956,-1.6141768876142857,-0.7379944966805473,0.5048913299723132,-0.5158422304686732,-0.26246007093474477,-1.5977477536176306,0.7601445186808623,0.4028557329036039,-1.914956008636621,-1.6234408340192723,-1.595463129557276,-1.6116015984727956,-1.6772341949301777,-1.4983780140862373,-1.6196153183205078,-0.2506821740895767,0.5321997566526536,0.12085750101284981,0.08810558095089885,-1.5828205012660623
2012-01-04,-1.6114588970526196,-1.6094456663991348,-0.673372636773964,0.6674056825947743,-0.3979890858110721,-0.18528327052033147,-1.608967290119978,0.7935233101652145,0.26019385278425694,-2.0655346809326702,-1.6228798371118376,-1.5957542353649112,-1.6114588970526196,-1.6650656803261625,-1.4725654421937406,-1.614983609561189,-0.3758850582640685,0.9063048178939266,0.48019469863569436,0.12693480199415852,-1.5752724256008577
2012-01-05,-1.6101270171309778,-1.603442141612019,-0.5925000478638291,0.8411031012883715,-0.26093920518295105,-0.0022286494400519043,-1.588809190228848,1.1384244123011258,0.11753197266491,0.9460387649883141,-1.6173495036444194,-1.5987762599953879,-1.6101270171309778,-1.6495980635629008,-1.4441897379866326,-1.6086483884960456,-0.19176316977216884,1.0197311547451178,1.2130978874534113,0.6550958017692385,-1.5573457458959965
2012-01-06,-1.6084621672289254,-1.597375682404409,-0.5020484967999937,0.9435062792992621,-0.13995038789736802,0.06519333924147706,-1.5496477330853295,1.315155660743516,-0.025129907454436946,0.9460387649883141,-1.610623702478598,-1.6023598895488698,-1.6084621672289254,-1.6442208686257984,-1.418183092415142,-1.6018071050909424,-0.14020904099443693,0.9126385092622884,1.2913756585283231,1.0752622468278759,-1.5507411796889425
2012-01-09,-1.6052276017049387,-1.5923403574993036,-0.41319343942844183,0.926442008936398,-0.062469028325035945,-0.0006488781175125293,-1.5124393591703014,1.0305196415872857,-0.16779178757378388,0.9460387649883141,-1.6021159495783437,-1.604597505442787,-1.6052276017049387,-1.6466417503266484,-1.4455029801823092,-1.5955757914441855,0.10283185181487062,0.8017768594354578,1.0637654180906948,1.2847394158532899,-1.5554587269796953
2012-01-10,-1.602944378982124,-1.5863337859626334,-0.3220520454111506,0.9508533957054952,0.031743119944432734,0.16254260423601055,-1.4464622118604356,1.1535698427891148,-0.3104536676931308,0.9460387649883141,-1.5939467180271256,-1.608419224525212,-1.602944378982124,-1.6535790151707288,-1.4175430819227908,-1.5882058612556738,-0.044465658978649104,0.7901068549859859,0.8457341908924999,1.152870532762348,-1.540362575649286
2012-01-11,-1.599139007777433,-1.5804458472367584,-0.23228705233432606,0.9361503849761758,0.11090959492510956,0.21382441178306338,-1.3908634922172898,0.8863891307534233,-0.45311554781247776,0.7954600926922648,-1.5833704932544925,-1.6116393829855449,-1.599139007777433,-1.6458625098781925,-1.3912804012509077,-1.5806008820485833,0.19121035829098246,0.8892985003633442,0.7674564198175874,0.9648058609817801,-1.535645028358533
2012-01-12,-1.5937163538107484,-1.5742118168036259,-0.1437046471777114,0.9235189626242409,0.18969336970315856,0.3181666505340129,-1.3257131976610907,0.7786197955881962,-0.5957774279318248,0.9460387649883141,-1.5715455858995757,-1.6128641751173705,-1.5937163538107484,-1.632527667702137,-1.3654829720499246,-1.5724536864134913,0.44161612663996597,1.0288568268291527,0.9881230400423529,0.9376546640068594,-1.5262099337770272
2012-01-12,-1.5937163538107484,-1.5742118168036259,-0.1437046471777114,0.9235189626242409,0.18969336970315856,0.3181666505340129,-1.3257131976610907,0.7786197955881962,-0.5957774279318248,0.9460387649883141,-1.5715455858995757,-1.6128641751173705,-1.5937163538107484,-1.632527667702137,-1.3654829720499246,-1.5724536864134913,0.44161612663996597,1.0288568268291527,0.9881230400423529,0.9376546640068594,-1.5262099337770272
2012-01-13,-1.587104521342598,-1.569478405737232,-0.06680358269961488,0.7986618733025447,0.21804096132522074,0.16482940608052635,-1.2814908314218503,0.5313023413235548,-0.7384393080511716,0.7954600926922648,-1.5646848803351452,-1.6065261176977588,-1.587104521342598,-1.619679264265878,-1.391070412294098,-1.5657253252256298,0.6257380151318657,0.8338863338872755,0.8665961018171155,0.9451446493792511,-1.535645028358533
